vehicle_type,vehicle_name,cost,owner_name,contact_number,availability
Traveling,Van,2170,Owner_664,7416391522,Yes
Traveling,Motorbike,3493,Owner_904,9038802546,No
Traveling,Motorbike,4784,Owner_395,5355381655,Yes
Traveling,Van,3044,Owner_452,4577564052,No
Farming,Tractor,769,Owner_374,3067471492,Yes
Farming,Harvester,726,Owner_253,7968531869,No
Traveling,Van,4251,Owner_658,7527558911,Yes
Farming,Seeder,1096,Owner_65,6893446289,Yes
Traveling,Auto,3587,Owner_102,2128662369,Yes
Traveling,Car,3773,Owner_139,4999909211,Yes
Traveling,Truck,2934,Owner_983,5718480627,No
Traveling,Auto,3386,Owner_611,5663530165,Yes
Farming,Harvester,740,Owner_518,6309918355,Yes
Traveling,Truck,1997,Owner_210,6800544180,No
Farming,Tractor,1726,Owner_578,6447069231,Yes
Farming,Seeder,1092,Owner_1,5946321894,No
Traveling,Motorbike,1420,Owner_820,6593825800,Yes
Traveling,Auto,3988,Owner_557,8090403315,No
Farming,Sprayer,1993,Owner_599,5120145881,No
Farming,Seeder,1491,Owner_665,5445147206,No
Farming,Sprayer,1954,Owner_55,5573585091,No
Farming,Plow,561,Owner_828,7416797976,Yes
Traveling,Auto,4902,Owner_553,3292385987,Yes
Farming,Plow,893,Owner_882,4934179635,Yes
Farming,Tractor,961,Owner_584,7045178008,No
Farming,Harvester,555,Owner_668,7349551448,Yes
Farming,Plow,1993,Owner_919,5091672330,No
Farming,Plow,1892,Owner_125,6291042887,No
Traveling,Auto,4793,Owner_720,5402743480,Yes
Farming,Tractor,1681,Owner_404,5447749167,No
Traveling,Auto,2700,Owner_120,9165215926,No
Traveling,Truck,4600,Owner_64,6851728573,Yes
Farming,Tractor,751,Owner_432,9648364249,No
Farming,Harvester,626,Owner_68,2454962049,Yes
Traveling,Van,3128,Owner_106,3501386621,No
Farming,Seeder,1226,Owner_756,3538387773,Yes
Farming,Sprayer,1999,Owner_350,9978980963,Yes
Farming,Harvester,1040,Owner_737,3199506224,No
Farming,Seeder,730,Owner_538,3569997672,Yes
Traveling,Motorbike,2195,Owner_71,2168322057,Yes
Traveling,Car,4196,Owner_196,3375401870,Yes
Traveling,Motorbike,1177,Owner_794,1460368804,No
Farming,Harvester,751,Owner_752,4501607835,No
Traveling,Motorbike,4818,Owner_178,9586352856,No
Farming,Tractor,665,Owner_926,9008123214,No
Farming,Harvester,1140,Owner_960,5233093391,Yes
Farming,Seeder,1407,Owner_988,5388272555,No
Traveling,Truck,4455,Owner_791,3080314386,No
Traveling,Truck,4182,Owner_141,5107790113,No
Traveling,Auto,4824,Owner_790,3160180328,Yes
Traveling,Car,2059,Owner_586,4427653704,Yes
Farming,Tractor,1444,Owner_444,2137071737,Yes
Traveling,Truck,2677,Owner_781,1867604927,No
Farming,Sprayer,1728,Owner_681,2566440341,Yes
Farming,Plow,1408,Owner_530,9695247643,No
Traveling,Van,2353,Owner_627,6697316420,No
Farming,Sprayer,616,Owner_576,8129730873,Yes
Traveling,Van,2024,Owner_181,1377820424,Yes
